gene_stable_id,name,chr,start,stop,biotype,FDR,log2FC,p,GFP1,GFP2,GFP3,WT1,WT2,WT3,effect,-log(p)
ENSG00000011426,ANLN,7,36389820,36453791,protein_coding,1.50614e-17,-1.61159,4.2198800000000003e-19,11.0414,16.0711,13.1388,2.92688,4.09169,3.5107,down,42.30931007526222
ENSG00000024526,DEPDC1,1,68474151,68497221,protein_coding,2.4143199999999997e-45,-1.60487,1.88076e-47,29.5666,31.6552,30.669,7.44419,8.5584,8.14211,down,107.58982342024831
ENSG00000138160,KIF11,10,92593129,92655395,protein_coding,3.41548e-14,-1.60388,1.26549e-15,9.46938,9.83515,8.60822,2.03,2.50205,2.80631,down,34.30331699595388
ENSG00000134690,CDCA8,1,37692480,37709719,protein_coding,6.36563e-23,-1.59778,1.30013e-24,35.8939,35.6642,39.2575,8.46423,8.91107,11.8075,down,54.999577972389275
ENSG00000143228,NUF2,1,163266575,163355764,protein_coding,1.06635e-26,-1.59703,1.8358899999999997e-28,42.8551,45.9972,48.8553,10.0932,11.592,14.6039,down,63.864853226283856
ENSG00000182010,RTKN2,10,62183034,62268844,protein_coding,3.6004e-07,-1.56966,3.03301e-08,2.3084,1.98288,2.28725,0.634006,0.56068,0.574959,down,17.311125218185744
ENSG00000127423,AUNIP,1,25831912,25859458,protein_coding,6.03479e-07,-1.56771,5.30553e-08,8.5441,7.95513,9.41399,2.57841,2.49737,1.91314,down,16.751931071127373
ENSG00000166741,NNMT,11,114257786,114313285,protein_coding,2.88195e-06,-1.55935,2.88271e-07,7.50695,7.75544,7.21104,1.70931,2.54054,1.86511,down,15.05936482702508
ENSG00000196550,FAM72A,1,206186178,206204414,protein_coding,1.15292e-28,-1.539,1.82644e-30,27.9964,30.0829,28.3286,7.34081,8.884,7.56493,down,68.4751840728203
ENSG00000188610,FAM72B,1,121167645,121185539,protein_coding,4.13846e-28,-1.53778,6.71864e-30,38.3235,40.9953,37.934,9.96067,11.9846,10.3625,down,67.17266703672048
ENSG00000162039,MEIOB,16,1833986,1884294,protein_coding,0.00154293,-1.53637,0.000283618,4.31105,3.97226,4.45653,1.02531,1.43925,1.05661,down,8.167882295644818
ENSG00000215784,FAM72D,1,145095973,145112696,protein_coding,4.70373e-27,-1.52926,8.005820000000001e-29,40.7787,42.6701,39.4276,10.4548,12.7333,10.8796,down,64.69479891964734
ENSG00000242265,PEG10,7,94656324,94669695,protein_coding,9.12803e-10,-1.52708,5.30019e-11,4.36691,4.86453,5.36588,1.52227,1.21175,1.30091,down,23.660693353962383
ENSG00000128944,KNSTRN,15,40382720,40394246,protein_coding,1.52644e-16,-1.52388,4.666440000000001e-18,30.1155,27.6417,30.2119,9.85434,7.03989,7.4955,down,39.90613520555387
ENSG00000144355,DLX1,2,172084739,172089677,protein_coding,0.000174907,-1.51595,2.54758e-05,4.52062,4.86485,5.20323,1.56544,0.969462,1.51834,down,10.577781576011956
ENSG00000138092,CENPO,2,24793135,24822376,protein_coding,6.95506e-10,-1.51211,3.97471e-11,8.41869,8.28037,9.49591,2.14243,3.56137,1.68493,down,23.948484233464466
ENSG00000121454,LHX4,1,180230263,180278984,protein_coding,3.6105800000000003e-34,-1.50882,4.39623e-36,25.4698,27.4803,28.2613,8.92438,7.65064,6.21882,down,81.41231599232175
ENSG00000184232,OAF,11,120211031,120230334,protein_coding,0.00518693,-1.50684,0.00109568,4.26706,4.2923,2.62471,0.878348,1.61826,0.678873,down,6.816380103891007
ENSG00000154839,SKA1,18,50375039,50394168,protein_coding,8.98547e-12,-1.49706,4.26451e-13,13.4008,15.2922,15.7268,3.85375,5.4096,3.35363,down,28.483278923207525
ENSG00000263513,FAM72C,1,143955363,143971965,protein_coding,2.4677e-26,-1.49491,4.31314e-28,43.4579,44.4395,42.1778,11.3527,13.8871,11.6993,down,63.01071642668975
ENSG00000167941,SOST,17,43753737,43758791,protein_coding,1.21449e-10,-1.49352,6.42384e-12,14.8242,15.772,15.6326,4.43487,4.44124,4.23586,down,25.77100504619451
ENSG00000117724,CENPF,1,214603194,214664571,protein_coding,4.62527e-10,-1.49216,2.60391e-11,32.9617,33.3413,32.5117,8.75464,7.495,11.6244,down,24.371421861397447
ENSG00000135451,TROAP,12,49323235,49331731,protein_coding,3.86772e-09,-1.48354,2.40432e-10,8.25561,11.8375,9.45179,2.36593,3.66299,2.43816,down,22.148583810645178
ENSG00000165480,SKA3,13,21153594,21176552,protein_coding,8.93582e-14,-1.48083,3.4337e-15,16.1131,20.2135,17.2136,4.76103,5.10351,5.44163,down,33.305137997929
ENSG00000158402,CDC25C,5,138285264,138338355,protein_coding,4.17911e-05,-1.47927,5.25262e-06,5.48982,5.77282,6.97844,1.62949,1.81642,1.77801,down,12.156783558224543
ENSG00000169607,CKAP2L,2,112736348,112764664,protein_coding,2.79716e-42,-1.47431,2.43534e-44,37.0543,36.7808,37.4261,10.3064,11.0166,10.6753,down,100.42365771456073
ENSG00000175063,UBE2C,20,45812575,45816957,protein_coding,4.28113e-41,-1.4742,3.8955e-43,143.987,167.934,150.253,45.5764,41.4764,45.5748,down,97.6513369579552
ENSG00000146233,CYP39A1,6,46549579,46652830,protein_coding,0.00666399,-1.47019,0.00144875,2.49429,4.08003,3.20219,1.21941,0.855856,0.733038,down,6.537054163310312
ENSG00000179988,PSTK,10,122954380,122997513,protein_coding,0.000648585,-1.46664,0.000108182,6.39842,6.61022,6.63998,1.89138,1.99123,1.79919,down,9.131695563986213
ENSG00000128606,LRRC17,7,102912999,102945111,protein_coding,1.93905e-19,-1.4594,4.8370199999999994e-21,30.8799,28.0446,30.6643,9.47233,8.51809,8.03293,down,46.77798812424837
ENSG00000109805,NCAPG,4,17810978,17844865,protein_coding,1.05025e-38,-1.45296,1.11378e-40,34.3979,35.0794,36.1939,10.544,10.2468,10.0301,down,91.99564408429478
ENSG00000140743,AC092338.1,16,22345935,22437165,protein_coding,1.45272e-07,-1.43344,1.15639e-08,6.80167,7.93351,8.85831,2.2168,2.86082,1.91601,down,18.275377660356508
ENSG00000163808,KIF15,3,44761720,44873376,protein_coding,3.81146e-13,-1.43189,1.55942e-14,10.0766,10.0865,9.92935,3.31818,2.79468,2.78819,down,31.791877344659838
ENSG00000072041,SLC6A15,12,84859490,84913615,protein_coding,7.12174e-05,-1.4247,9.42199e-06,2.12196,1.70141,2.15356,0.5574,0.717233,0.510594,down,11.572464239032774
ENSG00000278463,HIST1H2AB,6,26033175,26033568,protein_coding,0.242007,-1.42356,0.107189,5.81685,5.34168,4.12012,1.26388,1.33061,1.9537,not significant,2.2331616475506992
ENSG00000264215,AC126365.1,17,20788070,20789584,lincRNA,5.40105e-05,-1.42353,6.95815e-06,13.086,9.87938,11.4079,3.28075,4.66283,2.36664,down,11.87559692354795
ENSG00000133740,E2F5,8,85177153,85217158,protein_coding,0.00153424,-1.42129,0.000281919,4.66273,5.29878,4.95397,1.02578,2.15987,1.29201,down,8.173890762328313
ENSG00000065989,AC011529.1,19,10416772,10469630,protein_coding,2.17156e-10,-1.41328,1.17989e-11,6.38707,6.55479,6.87589,1.73702,2.52538,1.70481,down,25.1630148091412
ENSG00000110104,CCDC86,11,60842112,60851081,protein_coding,3.09754e-14,-1.41298,1.14566e-15,29.0542,28.1809,28.7122,7.07098,9.01149,9.71582,down,34.40279550475625
ENSG00000111087,GLI1,12,57459784,57472268,protein_coding,1.59695e-16,-1.41296,4.913360000000002e-18,16.4847,15.7953,16.9795,5.59824,4.59845,4.56461,down,39.85457364840606
ENSG00000131620,ANO1,11,70078301,70189528,protein_coding,0.000166399,-1.41006,2.40295e-05,2.70695,2.33046,3.2595,0.573461,1.11459,0.818265,down,10.63622831575655
ENSG00000254726,MEX3A,1,156072012,156082465,protein_coding,3.4743e-21,-1.40942,7.75555e-23,12.2165,13.656,13.4299,3.91878,3.84797,4.03842,down,50.91104842276358
ENSG00000237649,KIFC1,6,33391822,33409896,protein_coding,3.60147e-14,-1.40183,1.34383e-15,19.825,19.9043,20.2722,5.4603,6.80247,5.90836,down,34.24325264890526
ENSG00000204315,FKBPL,6,32128706,32130288,protein_coding,0.00144793,-1.39636,0.000264448,7.19231,7.43039,10.4569,2.4058,2.92247,2.28854,down,8.23786592334721
ENSG00000172432,GTPBP2,6,43605315,43629264,protein_coding,0.000166503,-1.38752,2.40664e-05,4.98627,6.53527,3.71631,1.3098,1.30234,2.02468,down,10.6346938811274
ENSG00000111206,FOXM1,12,2857680,2877155,protein_coding,1.39766e-15,-1.38655,4.63875e-17,19.4904,16.6119,18.2673,6.19351,5.44567,4.97983,down,37.60950164750611
ENSG00000188783,PRELP,1,203475805,203491352,protein_coding,6.66949e-33,-1.38371,8.77565e-35,29.9396,28.065,28.8158,10.0736,8.70187,7.80804,down,78.41849741410894
ENSG00000189184,PCDH18,4,137518917,137532494,protein_coding,0.000381638,-1.38179,6.01087e-05,2.91267,2.47807,1.91137,0.58633,0.749559,0.906347,down,9.719355968164207
ENSG00000139354,GAS2L3,12,100573682,100628288,protein_coding,3.29512e-08,-1.38137,2.38571e-09,4.5371,5.11696,4.49913,1.36783,1.24544,1.71436,down,19.853769062987816
ENSG00000254194,AF279873.4,8,33973700,34009595,lincRNA,0.0444816,-1.37694,0.0132752,9.94138,9.24341,10.0342,2.91608,3.07003,3.00511,down,4.321857646054253
ENSG00000075461,CACNG4,17,66964706,67033398,protein_coding,0.00692946,-1.37615,0.00151372,2.55207,2.12389,2.25957,0.693142,0.729735,0.714304,down,6.493185081625315
ENSG00000129195,PIMREG,17,6444440,6451469,protein_coding,3.9525e-18,-1.36941,1.06083e-19,29.2118,29.8687,29.8672,9.58589,10.092,7.86252,down,43.69006514629431
ENSG00000126249,PDCD2L,19,34404398,34426168,protein_coding,2.0508499999999998e-20,-1.36899,4.76598e-22,73.7816,76.6404,70.6796,20.499,27.8065,20.3123,down,49.09536886359236
ENSG00000284946,AC068831.7,15,90966189,91022566,protein_coding,1.7126699999999998e-20,-1.36537,3.9464599999999997e-22,13.6098,15.2718,12.8742,3.82188,4.2797,4.83369,down,49.28405307131721
ENSG00000112029,FBXO5,6,152970518,152983579,protein_coding,8.44959e-10,-1.36227,4.88412e-11,15.8356,17.4504,15.2544,4.54178,4.89022,5.63781,down,23.742446896963312
ENSG00000272711,AC019069.1,2,74832654,74833987,lincRNA,0.0219387,-1.36165,0.00578196,6.09758,4.52771,4.65638,2.23573,1.76532,0.767997,down,5.153012553433358
ENSG00000075218,GTSE1,22,46296869,46330810,protein_coding,3.7788499999999996e-20,-1.35975,8.93013e-22,36.9551,35.7152,29.5832,9.90747,10.6058,11.3253,down,48.467441093415786
ENSG00000072571,HMMR,5,163460202,163491941,protein_coding,8.13268e-15,-1.35947,2.87487e-16,16.3682,20.5663,18.5656,5.40681,6.14763,5.72047,down,35.78535403206906
ENSG00000198901,PRC1,15,90966039,90995629,protein_coding,9.03102e-41,-1.35601,8.394899999999999e-43,48.9185,49.1669,46.5267,14.2725,16.3299,14.5867,down,96.8835346201377
ENSG00000161888,SPC24,19,11131519,11155808,protein_coding,6.41853e-10,-1.34674,3.65548e-11,13.4176,15.4019,16.1366,5.10189,5.27532,3.75547,down,24.032208611406006
ENSG00000026652,AGPAT4,6,161129966,161274061,protein_coding,2.45514e-05,-1.34337,2.94758e-06,2.17448,2.61074,2.1542,0.890668,0.574713,0.710602,down,12.73452606325775
ENSG00000182481,KPNA2,17,68035707,68046854,protein_coding,2.6794900000000002e-76,-1.34081,9.12106e-79,177.424,176.664,177.972,56.6872,58.4163,52.8045,down,179.69363632112714
ENSG00000113739,STC2,5,173314712,173329503,protein_coding,6.739760000000001e-56,-1.34024,4.05903e-58,51.9192,54.1797,52.9799,17.007,16.6452,16.5134,down,132.1489913648422
ENSG00000029559,IBSP,4,87799553,87812435,protein_coding,0.000153188,-1.34017,2.19814e-05,9.36563,11.5107,9.43593,3.63135,3.15818,2.76599,down,10.725313916749677
ENSG00000161800,RACGAP1,12,49976922,50033136,protein_coding,9.55665e-16,-1.33983,3.12799e-17,16.1526,18.7891,15.9169,4.82238,5.90198,5.34234,down,38.00355595515177
ENSG00000035499,DEPDC1B,5,60596911,60700190,protein_coding,6.30816e-13,-1.33866,2.65937e-14,19.9834,25.0463,21.7705,6.84359,7.83139,6.43926,down,31.258102049279817
ENSG00000276966,HIST1H4E,6,26204551,26206038,protein_coding,0.114444,-1.33606,0.0418038,2.39141,3.17645,1.99633,1.33613,0.5275,0.516345,not significant,3.1747680344924984
ENSG00000164109,MAD2L1,4,120055622,120066858,protein_coding,2.3921600000000003e-34,-1.33518,2.89703e-36,31.5863,34.5897,33.9722,9.59772,11.505,10.6252,down,81.82937727351184
ENSG00000152253,SPC25,2,168834131,168913371,protein_coding,6.4976e-10,-1.32946,3.70477e-11,26.3982,24.2788,28.0471,9.60046,8.28466,7.13634,down,24.018814844385993
ENSG00000048162,NOP16,5,176383937,176388975,protein_coding,2.68967e-15,-1.32643,9.17332e-17,34.5741,45.5376,44.6365,14.815,12.7613,12.075,down,36.92764730999117
ENSG00000110876,SELPLG,12,108622276,108633959,protein_coding,0.00197229,-1.32209,0.000372742,5.09227,4.73475,3.89544,1.59328,1.67739,1.12882,down,7.89462406665571
ENSG00000004660,CAMKK1,17,3860314,3894891,protein_coding,7.51254e-05,-1.31927,1.00079e-05,3.79954,4.39401,3.55485,1.27531,1.22589,1.2571,down,11.51213577685598
ENSG00000269190,FBXO17,19,38941400,38975742,protein_coding,1.07639e-08,-1.31471,7.20837e-10,14.0126,13.1511,13.5248,4.72777,4.46947,3.87781,down,21.050608079098357
ENSG00000158301,GPRASP2,X,102712175,102717733,protein_coding,0.00064204,-1.29697,0.000106965,3.48479,3.26679,4.04527,1.07266,0.996433,1.43053,down,9.143008879815897
ENSG00000153071,DAB2,5,39371674,39462300,protein_coding,2.84168e-11,-1.29119,1.40261e-12,11.5018,9.29722,10.4818,3.01148,3.26954,3.92777,down,27.292686329216863
ENSG00000123213,NLN,5,65722204,65871725,protein_coding,1.74385e-06,-1.28811,1.67239e-07,3.05448,2.542,3.60585,1.02317,1.04807,0.940414,down,15.603841909906683
ENSG00000154743,TSEN2,3,12484431,12539623,protein_coding,0.0134382,-1.28579,0.00326191,1.78712,1.54849,2.14375,0.676403,0.534084,0.580879,down,5.725442365599254
ENSG00000168612,ZSWIM1,20,45881226,45885266,protein_coding,9.15537e-05,-1.273,1.24481e-05,8.25576,5.59126,7.01714,2.24226,2.45506,2.21829,down,11.293942557141483
ENSG00000122966,CIT,12,119685790,119877320,protein_coding,1.56807e-06,-1.27158,1.48739e-07,4.1635,3.04677,3.04119,1.24388,0.982164,1.16533,down,15.72107274483491
ENSG00000121621,KIF18A,11,28020618,28108156,protein_coding,2.376e-08,-1.26842,1.67815e-09,10.7042,11.3657,9.87224,4.07017,3.2903,3.22072,down,20.205573840763144
ENSG00000120647,CCDC77,12,389272,442642,protein_coding,0.000643855,-1.26533,0.000107309,5.20778,6.49681,5.53307,1.44112,2.52866,1.78214,down,9.13979803486467
ENSG00000123095,BHLHE41,12,26120029,26125037,protein_coding,5.00187e-05,-1.26529,6.40459e-06,5.42885,5.1178,5.04695,1.72513,1.60664,1.84618,down,11.958495637154705
ENSG00000088325,TPX2,20,31739270,31801805,protein_coding,3.6091999999999997e-40,-1.26449,3.52036e-42,66.0899,66.8218,65.2024,20.5985,22.4112,22.8602,down,95.45001064864213
ENSG00000120539,MASTL,10,27154823,27186924,protein_coding,3.20798e-09,-1.26382,1.96561e-10,10.563,10.9849,10.9998,3.48829,3.67245,3.66528,down,22.350048300223477
ENSG00000157111,TMEM171,5,73120568,73131809,protein_coding,0.131613,-1.26323,0.0494625,3.04803,2.51914,3.02252,0.794729,1.04586,1.02374,not significant,3.0065404722705944
ENSG00000271793,AL589666.1,6,85557977,85615234,protein_coding,0.00447217,-1.26308,0.000928043,11.5594,16.0274,10.9886,3.86657,5.01009,3.98462,down,6.9824324900446655
ENSG00000164294,GPX8,5,55160166,55167297,protein_coding,4.18474e-16,-1.26249,1.3204e-17,21.3653,19.8934,22.7721,6.45331,8.12478,6.78746,down,38.866011859901874
ENSG00000173848,NET1,10,5412556,5459056,protein_coding,0.000601706,-1.26197,9.91815e-05,3.5353,3.3428,3.4378,0.937401,1.17193,1.32828,down,9.218559053000714
ENSG00000135821,GLUL,1,182381703,182392206,protein_coding,5.41163e-08,-1.25391,4.01374e-09,6.36609,6.62413,5.9365,2.01512,2.54581,1.79976,down,19.33354236196362
ENSG00000137936,BCAR3,1,93561740,93847150,protein_coding,2.17881e-08,-1.24692,1.52186e-09,8.66545,10.0316,8.81494,2.70406,3.73249,2.84854,down,20.303332565969
ENSG00000283554,LINC02341,13,42339187,42485956,lincRNA,0.071131,-1.24666,0.0232912,2.03745,3.50816,2.59766,0.796854,0.838922,1.09491,not significant,3.7596796721538777
ENSG00000136122,BORA,13,72727748,72756198,protein_coding,2.75052e-08,-1.24207,1.9644e-09,10.5934,12.4252,12.6091,3.66026,3.8535,4.49431,down,20.04807898176346
ENSG00000112175,BMP5,6,55753652,55875590,protein_coding,6.5486e-08,-1.24082,4.95989e-09,8.57338,9.91474,9.31281,3.50321,2.50268,3.3523,down,19.121882273874853
ENSG00000105880,DLX5,7,97020395,97024950,protein_coding,3.02325e-22,-1.23776,6.3924500000000005e-24,63.0636,72.6744,72.5733,24.9207,22.7881,22.7465,down,53.40692462537049
ENSG00000123473,STIL,1,47250138,47314147,protein_coding,7.0594e-09,-1.23403,4.59813e-10,6.72884,9.26877,8.36497,3.1777,2.82715,2.26001,down,21.5002012308369
ENSG00000090889,KIF4A,X,70290103,70420886,protein_coding,7.35572e-13,-1.23108,3.13952e-14,14.9345,15.3093,13.1613,4.98064,4.7073,5.07437,down,31.09212137992375
ENSG00000090447,TFAP4,16,4257185,4273075,protein_coding,0.00187074,-1.23059,0.00035061,5.45752,5.52072,5.79841,1.77871,2.10669,1.83302,down,7.955836063351099
ENSG00000178921,PFAS,17,8247617,8270491,protein_coding,2.41806e-09,-1.22961,1.45945e-10,8.23115,7.56867,8.51635,3.20238,3.14963,1.95403,down,22.64779127752289
ENSG00000164104,HMGB2,4,173331694,173335125,protein_coding,2.71212e-13,-1.22807,1.09188e-14,38.1003,47.2833,41.8804,10.8947,14.9232,17.505,down,32.14829032074218
ENSG00000272301,AP002360.3,11,76389647,76390128,lincRNA,0.352112,-1.22693,0.179352,3.6965,2.72776,4.48844,1.03265,1.08717,1.59627,not significant,1.7184049236860384
ENSG00000197056,ZMYM1,1,35032171,35115859,protein_coding,0.000859918,-1.22592,0.00014771,2.51936,2.91509,3.31914,1.13313,0.881747,0.964643,down,8.820259665911765
ENSG00000185480,PARPBP,12,102120184,102197520,protein_coding,5.0316e-13,-1.2256,2.09815e-14,15.3761,16.5668,16.9675,6.00073,5.3665,5.31951,down,31.49513529783481
ENSG00000273604,EPOP,17,38671702,38675421,protein_coding,0.00999415,-1.22104,0.00232385,2.52705,2.89293,2.39463,1.13525,0.562439,0.963456,down,6.064529985965364
ENSG00000160408,ST6GALNAC6,9,127885320,127905408,protein_coding,3.28182e-05,-1.21931,4.04319e-06,8.60404,8.5106,7.19647,3.22187,3.01508,2.12126,down,12.418476573604025
ENSG00000163535,SGO2,2,200510007,200584096,protein_coding,1.3081400000000002e-32,-1.21839,1.73836e-34,38.3163,39.5327,37.8284,13.6992,12.6131,13.3584,down,77.73495102176625
ENSG00000257093,KIAA1147,7,141656727,141702166,protein_coding,9.14457e-05,-1.21702,1.24274e-05,2.72305,2.56392,2.56354,0.977369,0.88704,0.833552,down,11.295606845680648
