gene_stable_id,name,chr,start,stop,biotype,FDR,log2FC,p,GFP1 TPM,GFP2 TPM,GFP3 TPM,WT1 TPM,WT2 TPM,WT3 TPM
ENSG00000217801,AL390719.1,1,1059707,1069355,transcribed_unprocessed_pseudogene,0.342682,-0.498065,0.17297,3.45895,4.40725,4.0425,1.80374,2.49239,2.43969
ENSG00000131591,C1orf159,1,1081817,1116361,protein_coding,0.698103,-0.291712,0.507034,1.35245,1.39721,1.50535,0.818607,1.25959,0.713815
ENSG00000078808,SDF4,1,1216907,1232031,protein_coding,0.00148401,0.376951,0.00027173,95.0761,90.7602,96.5581,112.784,104.466,76.5457
ENSG00000176022,B3GALT6,1,1232225,1235041,protein_coding,0.20593,0.228877,0.0870984,18.9419,19.2894,20.8917,19.4026,18.6627,17.2684
ENSG00000184163,C1QTNF12,1,1242445,1246722,protein_coding,0.000823733,5.52137,0.000140956,0.0,0.0,0.0,2.63695,1.76665,0.741125
ENSG00000160087,UBE2J2,1,1253908,1273885,protein_coding,4.96956e-06,0.623688,5.20184e-07,24.0061,23.1063,23.6837,32.2195,32.7693,22.461
ENSG00000230415,LINC01786,1,1275222,1280420,lincRNA,,,,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131584,ACAP3,1,1292389,1309609,protein_coding,6.79744e-05,1.18845,8.9529e-06,2.47774,2.69813,2.63251,6.08932,4.48066,3.64369
ENSG00000278073,MIR6726,1,1296109,1296170,miRNA,,,,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169972,PUSL1,1,1308596,1311677,protein_coding,0.51812,-0.194911,0.313395,25.1934,21.1715,24.5697,17.4637,19.3534,12.882
ENSG00000127054,INTS11,1,1311584,1324691,protein_coding,0.264742,-0.253275,0.121973,12.7112,14.1245,14.84,10.622,10.0417,7.29754
ENSG00000240731,AL139287.1,1,1317580,1318689,sense_intronic,0.514801,-0.488648,0.310297,11.8447,10.1973,17.4785,8.36421,6.77368,7.29349
ENSG00000224051,CPTP,1,1324755,1328896,protein_coding,0.593236,-0.267504,0.389537,4.55564,5.64773,4.30239,4.15736,3.23052,2.24415
ENSG00000107404,DVL1,1,1335275,1349418,protein_coding,0.128589,-0.246299,0.0480399,28.1718,29.6535,27.1078,21.0116,21.1829,15.1495
ENSG00000162576,MXRA8,1,1352688,1361777,protein_coding,0.000144055,-0.985058,2.05766e-05,9.54153,8.24281,10.2249,4.66466,3.2175,3.3981
ENSG00000175756,AURKAIP1,1,1373729,1375495,protein_coding,1.85898e-08,-0.514138,1.28386e-09,191.312,179.779,188.907,112.023,108.851,92.7538
ENSG00000223663,NDUFB4P8,1,1378665,1379032,processed_pseudogene,,,,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000221978,CCNL2,1,1385710,1399335,protein_coding,0.521476,0.0905368,0.316737,36.6013,37.9396,34.8489,31.0516,33.2589,28.8491
ENSG00000224870,MRPL20-AS1,1,1399521,1402046,processed_transcript,0.52303,-0.190799,0.318214,13.4797,11.016,12.7185,9.44232,8.07691,8.51428
ENSG00000242485,MRPL20,1,1401908,1407293,protein_coding,5.83272e-05,-0.405982,7.58299e-06,130.567,121.656,129.289,80.8392,71.9213,77.0005
ENSG00000264293,RN7SL657P,1,1405459,1405752,misc_RNA,,,,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000272455,AL391244.2,1,1409095,1410618,lincRNA,0.915821,-0.156839,0.83021,0.500333,1.72298,1.77195,1.14148,0.858385,0.840234
ENSG00000235098,ANKRD65,1,1418419,1421769,protein_coding,9.22188e-12,8.65215,4.38878e-13,0.0960674,0.0,0.0,11.7413,11.9656,10.551
ENSG00000160072,ATAD3B,1,1471768,1497848,protein_coding,0.704085,-0.238054,0.5129,4.46164,4.18055,4.63008,4.86966,2.77699,1.35913
ENSG00000197785,ATAD3A,1,1512150,1534687,protein_coding,0.336223,-0.29476,0.167983,10.0647,10.3067,11.9128,9.15029,7.0887,4.80379
ENSG00000160075,SSU72,1,1541672,1574863,protein_coding,0.000676783,-0.398664,0.000113329,26.7217,25.5408,25.8004,17.1163,15.8113,14.396
ENSG00000215014,AL645728.1,1,1574101,1577075,processed_transcript,0.995227,-0.0100173,0.99022,0.54066,0.670269,0.574431,0.422908,0.445234,0.544775
ENSG00000228594,FNDC10,1,1598011,1600135,protein_coding,0.727947,0.189451,0.541577,5.14223,3.8299,4.70108,4.09244,4.92399,3.49441
ENSG00000272106,AL691432.2,1,1613757,1615795,antisense,0.89415,0.074036,0.790195,5.23459,7.33924,6.62089,5.36189,6.54301,4.26977
ENSG00000197530,MIB2,1,1615414,1630610,protein_coding,6.6665e-13,2.34833,2.8279e-14,1.35271,1.90567,1.50253,8.29646,7.91164,3.2836
ENSG00000248333,CDK11B,1,1635226,1659012,protein_coding,0.883469,-0.0290415,0.770693,35.4642,40.2493,36.8283,28.4096,29.5346,30.0841
ENSG00000272004,FO704657.1,1,1659324,1662602,antisense,0.414008,0.863319,0.225813,3.17503,3.93615,3.37335,7.45058,4.57562,3.19919
ENSG00000189339,SLC35E2B,1,1659528,1692728,protein_coding,0.388917,0.153279,0.206501,10.7448,10.0056,10.0181,8.82635,9.70614,8.83805
ENSG00000008128,CDK11A,1,1702378,1724357,protein_coding,0.859285,0.0446827,0.731483,17.6429,19.8905,18.7449,14.5123,15.1344,16.6485
ENSG00000268575,AL031282.2,1,1702735,1737688,processed_transcript,0.779715,0.0674127,0.614952,11.7024,13.3814,12.0083,10.1219,9.88405,10.9852
ENSG00000215790,SLC35E2A,1,1724837,1745999,protein_coding,0.0966288,0.307924,0.0337214,6.47716,5.86412,6.06777,6.1288,6.38067,5.71942
ENSG00000008130,NADK,1,1751231,1780457,protein_coding,0.286349,-0.168613,0.134814,25.9149,23.7076,22.8374,16.991,18.7606,15.8625
ENSG00000078369,GNB1,1,1785284,1891117,protein_coding,0.247735,-0.094161,0.110942,184.418,184.473,191.978,141.725,144.666,133.485
ENSG00000231050,AL109917.1,1,1891470,1892658,antisense,,1.84446,0.279654,0.0,0.0,0.595734,0.54824,0.865775,0.282489
ENSG00000178821,TMEM52,1,1917589,1919279,protein_coding,9.22026e-06,3.51998,1.01643e-06,1.09248,0.0,0.193453,4.80683,4.31088,2.93546
ENSG00000067606,PRKCZ,1,2050410,2185395,protein_coding,1.45791e-10,8.24587,7.80682e-12,0.0,0.0493809,0.0,4.39314,5.60912,2.93791
ENSG00000182873,PRKCZ-AS1,1,2181793,2184389,antisense,0.41828,1.40679,0.229485,0.146483,0.302665,0.311266,0.429676,1.05551,0.147598
ENSG00000162585,FAAP20,1,2184460,2212720,protein_coding,0.0551962,0.630851,0.0171413,5.95457,6.05986,5.66552,9.21112,9.05701,3.76112
ENSG00000157933,SKI,1,2228318,2310213,protein_coding,1.55584e-17,1.0485,4.3693000000000005e-19,9.18634,12.1219,11.3572,18.0457,17.6659,18.1338
ENSG00000272420,AL513477.2,1,2363060,2363628,sense_intronic,,0.307269,0.831439,0.447187,1.38597,0.475119,0.0,0.920648,1.35177
ENSG00000157916,RER1,1,2391774,2405442,protein_coding,0.911918,0.0268232,0.823809,17.212,18.7176,15.0253,13.3846,14.0912,13.9961
ENSG00000157911,PEX10,1,2403963,2413797,protein_coding,0.512917,0.272517,0.30857,3.34536,5.22629,4.50791,4.30808,4.95547,3.37081
ENSG00000149527,PLCH2,1,2425979,2505532,protein_coding,3.57982e-14,9.56509,1.33341e-15,0.0,0.0,0.0,5.02206,5.37111,3.6967
ENSG00000157881,PANK4,1,2508530,2526628,protein_coding,0.361287,0.54236,0.186207,2.46512,1.66516,1.71249,2.78111,2.73273,1.33747
ENSG00000197921,HES5,1,2528744,2530263,protein_coding,4.3617e-05,6.17483,5.49924e-06,0.0,0.0,0.0,2.62609,2.76472,0.966522
ENSG00000272449,AL139246.5,1,2530063,2547460,lincRNA,,-1.05594,0.566188,0.0,0.514194,0.352538,0.162216,0.17078,0.0
ENSG00000157873,TNFRSF14,1,2555638,2565382,protein_coding,1.29132e-06,6.81423,1.20037e-07,0.0,0.0,0.0,1.37161,2.02163,1.41349
ENSG00000157870,PRXL2B,1,2586490,2591469,protein_coding,0.000231991,-0.496057,3.50017e-05,32.6421,30.8664,33.2597,18.3997,18.8203,17.6135
ENSG00000162591,MEGF6,1,3487950,3611508,protein_coding,5.00933e-11,1.65302,2.56435e-12,1.46315,1.20926,1.17454,3.5924,3.31348,2.78475
ENSG00000158109,TPRG1L,1,3625014,3630127,protein_coding,0.0305411,0.427474,0.00851296,15.5512,17.4867,14.3869,19.6531,15.6813,15.5629
ENSG00000116213,WRAP73,1,3630766,3652761,protein_coding,3.82496e-07,1.01247,3.23253e-08,10.4418,12.4181,10.965,15.6704,22.4969,16.5159
ENSG00000078900,TP73,1,3652515,3736201,protein_coding,2.07552e-65,3.01329,9.78249e-68,2.3303,2.17141,1.94184,13.8048,14.4866,13.3515
ENSG00000130764,LRRC47,1,3778558,3796498,protein_coding,0.811024,-0.0404651,0.6581,33.3514,34.8213,35.3092,26.838,28.6195,24.9809
ENSG00000116198,CEP104,1,3812085,3857214,protein_coding,0.238185,0.290084,0.105075,4.95407,4.42346,5.03793,3.77131,4.84462,5.45529
ENSG00000169598,DFFB,1,3857266,3885429,protein_coding,0.987741,-0.0116108,0.975262,3.18998,2.38929,1.69462,1.48154,2.05231,2.24998
ENSG00000198912,C1orf174,1,3889124,3900293,protein_coding,0.00861196,-0.538158,0.00195286,23.4701,29.5112,27.5609,12.9838,15.7355,15.5584
ENSG00000196581,AJAP1,1,4654731,4792534,protein_coding,5.5456e-06,-0.782683,5.87015e-07,4.45474,4.51737,4.47126,2.22801,2.13431,1.88233
ENSG00000131697,NPHP4,1,5862810,5992473,protein_coding,0.442092,0.250683,0.247919,3.86127,3.83566,3.99726,3.72699,4.43332,2.99281
ENSG00000069424,KCNAB2,1,5991465,6101193,protein_coding,0.290441,0.37215,0.137304,1.77165,1.55914,2.09146,1.89264,1.85747,1.85125
ENSG00000285629,AL031847.2,1,6159429,6197757,protein_coding,0.653521,-0.0695563,0.452964,426.019,502.26,424.543,296.3,381.351,352.442
ENSG00000116251,RPL22,1,6185019,6209389,protein_coding,0.0324526,0.131181,0.00914136,438.496,457.235,437.072,383.625,411.265,371.879
ENSG00000226944,AL031847.1,1,6204839,6205780,antisense,0.392927,-0.645605,0.209247,14.1112,10.4131,13.5648,7.2272,8.99215,3.38539
ENSG00000116237,ICMT,1,6221192,6235972,protein_coding,0.000140707,0.385005,2.00247e-05,38.9346,36.0096,37.7083,38.5866,45.0405,34.267
ENSG00000158292,GPR153,1,6247352,6261098,protein_coding,6.29527e-08,1.26818,4.74329e-09,3.02528,3.31294,3.59995,7.15833,6.66428,5.30404
ENSG00000097021,ACOT7,1,6264268,6394391,protein_coding,0.000169669,0.449104,2.46017e-05,26.7682,25.8209,25.769,28.1973,31.6649,25.7798
ENSG00000069812,HES2,1,6412417,6424670,protein_coding,8.89455e-12,7.55376,4.21554e-13,0.0939531,0.0,0.0,4.82283,4.88401,4.82807
ENSG00000187017,ESPN,1,6424775,6461367,protein_coding,2.30721e-08,7.35587,1.62363e-09,0.0,0.0402778,0.0,2.17285,2.0869,1.41422
ENSG00000215788,TNFRSF25,1,6460785,6466195,protein_coding,0.000127631,3.34699,1.79215e-05,0.365121,0.377207,0.0,2.618,1.62867,1.8395
ENSG00000171680,PLEKHG5,1,6466091,6520061,protein_coding,4.29189e-20,3.33874,1.01987e-21,0.531985,0.380488,0.347824,3.84113,3.20143,3.17496
ENSG00000162408,NOL9,1,6521346,6554513,protein_coding,0.895623,-0.0316189,0.79265,11.7668,12.9879,12.7868,9.96859,9.19286,10.1185
ENSG00000229519,AL591866.1,1,6547904,6548619,processed_pseudogene,,-0.675618,0.868493,0.0,0.0,0.672987,0.0,0.0,0.0
ENSG00000173662,TAS1R1,1,6555306,6579755,protein_coding,7.36991e-05,6.04167,9.78891e-06,0.0,0.0,0.0,0.898527,1.32435,0.555576
ENSG00000204859,ZBTB48,1,6579993,6589280,protein_coding,0.601838,0.417628,0.398586,1.51514,1.00626,1.95473,1.48144,2.00526,1.30857
ENSG00000162413,KLHL21,1,6590723,6614607,protein_coding,5.11431e-06,0.523691,5.38014e-07,14.649,14.1833,12.7875,15.5108,16.2918,16.0214
ENSG00000116273,PHF13,1,6613730,6624030,protein_coding,0.0447074,-0.354656,0.0133601,15.1059,16.0394,16.4209,10.2569,10.0785,9.37207
ENSG00000041988,THAP3,1,6624865,6635586,protein_coding,0.970265,-0.0244241,0.937411,4.52739,3.38698,4.72724,4.88463,2.08914,2.91014
ENSG00000007923,DNAJC11,1,6634167,6701924,protein_coding,0.0162316,-0.460738,0.0040717,15.5691,17.3682,15.3766,11.0776,9.78138,7.21774
ENSG00000237436,CAMTA1-DT,1,6783891,6784843,antisense,0.520697,-0.494736,0.315704,10.4049,11.3816,13.0057,7.77973,4.41024,7.40053
ENSG00000171735,CAMTA1,1,6785453,7769706,protein_coding,0.0853412,0.24397,0.0289722,12.5082,14.097,12.625,11.3128,15.0704,10.8561
ENSG00000227950,AL590128.1,1,6834332,6834618,processed_pseudogene,,2.73188,0.288167,0.0,0.0,0.0,0.0,1.82842,0.894878
ENSG00000207056,RNU1-8P,1,7219359,7219524,snRNA,,0.698933,0.687678,0.0,1.59036,3.27112,3.01034,0.0,3.10224
ENSG00000237402,CAMTA1-IT1,1,7368941,7370270,sense_intronic,0.891514,-0.206912,0.785613,6.26307,3.59466,5.17554,5.44335,2.86536,2.10358
ENSG00000269978,AL359881.1,1,7700703,7700970,lincRNA,0.662876,0.857411,0.463224,0.951319,2.94843,2.02148,2.79048,4.89633,0.958559
ENSG00000049245,VAMP3,1,7771295,7781432,protein_coding,3.21473e-06,0.558445,3.24504e-07,29.9666,34.7915,32.1415,36.0902,43.0877,34.9874
ENSG00000269925,Z98884.2,1,7776382,7776775,sense_intronic,0.749633,0.231112,0.577495,12.9263,10.6834,17.1672,13.2708,15.302,9.76852
ENSG00000049246,PER3,1,7784319,7845177,protein_coding,0.402354,-0.264372,0.217007,3.48538,5.94732,4.3272,3.10154,2.94278,3.07785
5S_0,5S_0,1,7816373,7816374,rRNA,,,,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116288,PARK7,1,7954290,7985505,protein_coding,0.510486,0.0651999,0.306773,458.172,447.597,454.033,400.659,397.455,339.922
ENSG00000116285,ERRFI1,1,8004403,8026309,protein_coding,0.49335,-0.134384,0.291986,18.7924,18.8471,16.9842,13.7211,14.7596,11.3735
ENSG00000142599,RERE,1,8352396,8817640,protein_coding,0.219985,0.206714,0.0946412,9.77671,9.95848,9.33697,8.43148,8.11333,10.1832
ENSG00000221083,RF00599,1,8511794,8511919,snoRNA,0.475634,1.30614,0.276145,4.06404,6.29784,0.0,5.96047,4.18342,10.2374
ENSG00000222511,RF00019,1,8796570,8796673,misc_RNA,,,,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000228423,AL357552.2,1,8805859,8807051,lincRNA,,2.15885,0.469413,0.0,0.0,0.0,0.0,0.740691,0.725029
ENSG00000074800,ENO1,1,8860999,8879250,protein_coding,0.650689,-0.0438661,0.449936,444.98,427.711,435.818,354.188,356.007,305.336
ENSG00000274258,MIR6728,1,8866501,8866590,miRNA,,,,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000230679,ENO1-AS1,1,8878834,8879894,antisense,0.825252,0.380806,0.680525,5.57022,0.0,2.36726,2.72317,4.0137,1.68378
ENSG00000201725,RNU6-304P,1,8883426,8883533,snRNA,,,,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232208,AL139415.1,1,8907392,8907744,processed_pseudogene,0.802059,-0.55387,0.645228,2.88639,2.23645,1.53334,0.705548,1.48559,1.45418
ENSG00000232663,AL139415.2,1,8909741,8909904,processed_pseudogene,,0.28617,0.928155,1.5583,0.0,0.0,1.52364,0.0,0.0
ENSG00000252404,RF00424,1,9082695,9082879,scaRNA,0.560855,-0.58781,0.356317,17.9458,12.8353,16.1334,6.74872,9.947,8.34571
ENSG00000180758,GPR157,1,9100304,9129102,protein_coding,0.913963,0.0567812,0.827329,2.29711,3.98892,3.06373,2.43717,3.01863,2.3146
ENSG00000228526,MIR34AHG,1,9148010,9198906,lincRNA,8.02779e-19,6.28935,2.0652799999999998e-20,0.0875668,0.0301552,0.0310121,2.93959,3.03469,3.41168
ENSG00000234546,LNCTAM34A,1,9182003,9196284,lincRNA,6.7755e-11,7.2904,3.50396e-12,0.152829,0.0,0.162375,11.6555,12.5855,15.0912
ENSG00000049239,H6PD,1,9234774,9271337,protein_coding,0.395038,0.353022,0.21095,1.58053,1.52024,0.955437,1.41216,1.71111,1.0434
ENSG00000171621,SPSB1,1,9292893,9369532,protein_coding,0.000838179,0.999596,0.000143757,3.5226,2.71005,2.8667,4.32364,4.8605,5.36188
ENSG00000171612,SLC25A33,1,9539464,9585173,protein_coding,8.64526e-06,-0.641408,9.48435e-07,20.5042,22.2692,19.8997,10.0241,11.4327,10.6612
ENSG00000231181,AL954705.1,1,9576426,9576985,processed_pseudogene,0.191946,0.34306,0.0796633,42.7124,38.9625,42.9664,45.3166,42.0962,38.9168
ENSG00000188807,TMEM201,1,9588910,9614877,protein_coding,0.00222985,0.492983,0.000427402,8.09273,7.31049,9.17974,9.47999,10.4231,7.79978
ENSG00000171608,PIK3CD,1,9651731,9729114,protein_coding,9.73304e-20,2.20454,2.35744e-21,1.97005,1.20266,1.52226,5.29714,6.03768,6.00024
ENSG00000231789,PIK3CD-AS2,1,9672425,9687555,antisense,0.123839,0.445338,0.045933,16.2302,18.7236,19.2557,20.8944,20.3268,17.7165
ENSG00000171603,CLSTN1,1,9729025,9824526,protein_coding,6.24573e-06,0.409078,6.66849e-07,37.3633,35.0316,34.7349,37.3885,41.1652,35.2946
ENSG00000178585,CTNNBIP1,1,9848275,9910336,protein_coding,5.0676e-63,2.62416,2.55437e-65,4.7925,5.57985,5.33431,24.7683,26.9373,25.6012
ENSG00000162441,LZIC,1,9922112,9943407,protein_coding,0.423658,-0.152744,0.233572,13.9312,13.3929,13.054,9.36466,9.75946,9.89427
ENSG00000228150,AL357140.2,1,9942922,9949974,sense_intronic,0.453291,1.44358,0.25698,0.577278,1.19277,0.613335,2.25775,2.37694,0.581671
ENSG00000173614,NMNAT1,1,9943427,9985501,protein_coding,0.283361,0.324843,0.133073,3.96232,5.25431,4.39831,4.22113,4.93098,4.46918
ENSG00000202415,RN7SKP269,1,9947317,9947636,misc_RNA,,1.24794,0.759733,0.0,0.0,0.0,0.0,0.819636,0.0
ENSG00000241326,AL603962.1,1,9983140,9984568,sense_intronic,0.21664,0.605639,0.0928335,9.90376,18.0557,16.093,17.0885,16.1916,19.9582
ENSG00000162444,RBP7,1,9997205,10016021,protein_coding,,1.24794,0.759733,0.0,0.0,0.0,0.397364,0.0,0.0
ENSG00000130939,UBE4B,1,10032831,10181239,protein_coding,0.959427,0.0125436,0.912322,13.8457,12.6973,13.0178,10.2368,11.2848,10.3964
ENSG00000054523,KIF1B,1,10210804,10381603,protein_coding,6.01624e-19,0.706472,1.5399e-20,13.6589,14.4462,13.0674,17.8873,17.766,17.9819
ENSG00000199562,RNU6-37P,1,10298965,10299072,snRNA,0.0238125,1.28899,0.00635685,21.3647,26.9767,27.7434,48.7421,41.541,57.406
ENSG00000264501,RN7SL731P,1,10306464,10306757,misc_RNA,9.93738e-13,0.922214,4.28072e-14,193.319,204.196,194.342,333.115,290.912,271.658
ENSG00000284642,AL139424.2,1,10395415,10397432,lincRNA,0.228749,1.07039,0.0998193,0.515915,1.24365,1.46171,1.68147,1.59321,2.07936
ENSG00000142657,PGD,1,10398591,10420511,protein_coding,0.0867802,0.207207,0.0296255,49.3314,48.1957,49.4599,46.2932,48.2263,41.2057
ENSG00000271989,AL139424.1,1,10429880,10430677,antisense,,2.72664,0.289803,0.0,0.0,0.0,0.623219,0.0,0.321123
ENSG00000251503,CENPS-CORT,1,10430101,10452153,protein_coding,5.436390000000001e-56,2.38119,3.23849e-58,10.64,9.93978,8.41833,39.068,40.0818,41.6294
ENSG00000175279,CENPS,1,10430432,10442808,protein_coding,0.695301,0.109415,0.504362,31.1067,33.0229,33.0497,24.3319,30.033,29.398
ENSG00000241563,CORT,1,10449718,10451902,protein_coding,5.53313e-64,2.85165,2.71658e-66,13.0373,13.4688,10.7469,69.8904,72.886,72.2507
ENSG00000160049,DFFA,1,10456521,10472529,protein_coding,0.220865,0.18659,0.0951356,14.9142,13.982,12.9944,12.0334,13.2212,12.8644
ENSG00000142655,PEX14,1,10472287,10630758,protein_coding,0.992088,-0.00431596,0.984244,11.6839,9.1787,11.3792,8.92499,7.64221,9.07484
ENSG00000130940,CASZ1,1,10636603,10796650,protein_coding,2.28639e-15,3.04792,7.75301e-17,0.202808,0.359179,0.307822,1.98297,2.02801,1.72239
ENSG00000120948,TARDBP,1,11012343,11026420,protein_coding,0.969421,0.0064734,0.936358,36.6393,37.9468,40.5337,31.212,32.0583,29.1192
ENSG00000277726,AL109811.3,1,11012661,11030528,protein_coding,0.987444,-0.0114582,0.974774,18.3395,12.7889,11.2039,11.2073,10.383,12.0114
ENSG00000271895,AL109811.2,1,11029658,11030528,antisense,0.893981,0.100718,0.789837,11.0944,6.93728,6.20385,6.85111,6.61173,7.35446
ENSG00000116649,SRM,1,11054583,11060020,protein_coding,5.73373e-08,-0.476775,4.27515e-09,145.329,150.882,154.865,88.2657,94.1093,76.9109
ENSG00000171824,EXOSC10,1,11066617,11099869,protein_coding,0.00506445,-0.363805,0.0010662,39.245,38.9486,37.8355,22.9167,27.1189,22.1518
ENSG00000230337,EXOSC10-AS1,1,11099674,11102100,antisense,0.943973,-0.108771,0.881756,3.79108,2.44786,4.02787,2.78007,2.43903,2.38745
ENSG00000198793,MTOR,1,11106534,11262507,protein_coding,0.554147,0.100895,0.349262,11.0779,10.33,10.0924,8.51598,9.39894,9.09414
ENSG00000238173,RPL39P6,1,11232962,11233112,processed_pseudogene,,-0.730826,0.705022,1.69335,3.4988,1.79912,3.31137,0.0,0.0
ENSG00000120942,UBIAD1,1,11273205,11296049,protein_coding,0.00622927,-0.435833,0.00134283,17.1687,16.7033,14.5481,10.1957,10.5171,7.95983
